cell_id,lat,lon,depth_km,Degree,PageRank,Closeness,Betweenness,Eigenvector,Katz,HITS_Hub,HITS_Auth,community
146_90_1,41.641999999999996,20.2775,10.0,0.0002404713237946375,1.72688029971274e-05,0.2554675021501413,3.546148599730723e-08,4.413525357182914e-06,0.007669874712022504,3.208886966790285e-07,2.904666891670273e-07,3
82_85_0,41.70728260869566,12.64013043478261,0.0,0.002524948899843694,0.0001221166591759039,0.3089352376353472,0.00022359727053680863,0.00039080178197375097,0.007745090039828323,2.9363188404748965e-05,3.6301461398873654e-05,1
93_53_6,38.815,13.707,60.0,0.00012023566189731875,1.2408652645151061e-05,0.28758644536652833,6.012144531954548e-05,8.856433170677807e-06,0.007668067125518241,-1.1757728025063722e-26,1.1821966803885193e-06,4
113_70_7,40.2268,16.1682,70.0,0.00012023566189731875,1.3831633362272507e-05,0.23584959165154265,2.6702639798115655e-08,7.85816663096914e-08,0.007666042574892191,1.9560022699752516e-10,9.864112992937791e-09,4
118_39_1,37.394999999999996,16.444,10.0,0.0002404713237946375,1.8485016729435335e-05,0.2586855774314951,1.130350805512377e-06,9.87943767025645e-07,0.007670352481962197,4.4602845134840015e-08,7.654255068366203e-08,8
84_35_0,37.1905,12.6465,0.0,0.0002404713237946375,1.8422786811246114e-05,0.25933085965514013,5.095742738821291e-07,2.4419219669419317e-06,0.007670148408194057,2.52520695001729e-07,4.628792766950271e-08,8
77_112_5,44.1217,12.1133,50.0,0.00012023566189731875,1.139287322852933e-05,0.27510129827172747,5.44321119899369e-08,4.277483522913216e-05,0.007662146688577933,7.597979666398929e-09,6.971805286260092e-06,18
127_108_1,43.433499999999995,18.2815,10.0,0.0002404713237946375,1.6612536654107925e-05,0.2755159505747507,1.7304639429379872e-06,7.27029276442207e-06,0.007671242952361408,4.128305428266642e-07,5.643596908279936e-07,15
78_103_1,43.33150714285715,12.217514285714286,10.0,0.0013225922808705061,6.639264257937531e-05,0.285341796037396,2.281687161724218e-05,2.7692610219689766e-05,0.0077186644805150775,3.859563456557127e-06,5.680956172143918e-07,2
146_70_0,39.8835,20.025,0.0,0.0002404713237946375,1.458073463235194e-05,0.2934876581329287,1.3240464485205484e-06,3.6781569327215355e-05,0.007676152200723467,9.668689093549201e-07,5.1088690573115245e-06,11
92_26_8,36.3307,13.4373,80.0,0.00012023566189731875,1.3260379801877653e-05,0.24587958788487976,0.0,5.700595648956679e-05,0.007666119175163114,9.617120208988452e-06,6.755683432269305e-08,15
106_41_3,37.6555,15.131,30.0,0.0002404713237946375,1.7354286906810355e-05,0.2560376806686472,6.039310516236874e-05,4.253856420292197e-06,0.007670225700673992,5.135386258659314e-07,8.478458755229117e-08,1
137_87_1,41.473,19.22,10.0,0.00012023566189731875,1.3909381786586309e-05,0.23100211087656927,2.397257832150661e-06,1.8348941899622199e-06,0.007666041216024933,1.8760578776752873e-07,1.7168980991556005e-08,1
63_120_1,44.88833333333333,10.400333333333334,10.0,0.00036070698569195625,2.084660452195071e-05,0.2691759984465014,1.4730529189091836e-06,7.207808979598575e-06,0.0076745337523929985,8.503068940159532e-07,1.6169788152217298e-07,2
69_116_1,44.5,11.192,10.0,0.00012023566189731875,1.590159061054954e-05,0.20684423885199832,1.8314315877504817e-08,1.49345782458305e-09,0.007666020112284089,1.532702214748517e-11,4.6788965156546326e-11,17
61_116_3,44.541086666666665,10.161986666666667,30.0,0.0013827101118191656,6.427577972040469e-05,0.31510949458210197,0.0011297689200548532,0.00039200102276988537,0.00771603588480573,2.2710367004113946e-05,4.304782501282178e-05,18
66_138_1,46.519400000000005,10.89625,10.0,0.0002404713237946375,1.64638698052375e-05,0.24915371019442198,1.552539387234075e-07,1.7961726719881018e-06,0.007669989709944846,1.495194815630013e-07,3.272073519437846e-08,18
92_104_3,43.372233333333334,13.9683,30.0,0.00036070698569195625,1.8803048133535334e-05,0.2920448759590568,2.456040375219648e-06,0.00014616711057151294,0.007674581447316993,2.1040792108824342e-05,3.833349766677107e-06,15
105_87_2,41.7711,15.36657142857143,20.0,0.0007815318023325719,3.9155642454952194e-05,0.29169150913618347,7.786984332267649e-06,1.2673733725206095e-05,0.007691646114914313,2.806145385517933e-07,1.7714151821022704e-06,10
150_93_1,41.827,20.866,10.0,0.00012023566189731875,1.3936095042893537e-05,0.23339413497965483,6.012144531954548e-05,1.6324121909768704e-07,0.007666037140837373,7.069203144051031e-28,2.1298460032818726e-08,8
80_131_0,45.83,12.677,0.0,0.00012023566189731875,1.3567926993874303e-05,0.2323151911286155,0.0,8.101410036766385e-07,0.007666032523090476,4.468132654638233e-08,4.93231521235584e-09,2
102_104_1,43.29033333333333,15.196666666666667,10.0,0.00036070698569195625,2.322927778430552e-05,0.2567292258303494,4.524441576148617e-07,2.434606115262382e-06,0.007674013814935147,2.2291255134193899e-07,5.205793678850861e-08,14
118_65_0,39.726,16.6935,0.0,0.000480942647589275,2.3603730889617665e-05,0.2915023745684594,6.48998482755478e-05,2.120597755996377e-05,0.007679897378011118,6.657005570130746e-08,3.403933150390187e-06,2
114_37_1,37.23596,16.0003,10.0,0.0006011783094865938,3.61569773861983e-05,0.2971365284650149,0.0010050908746798307,6.65353767239357e-05,0.007682462469178879,1.424902825999798e-07,1.1004166113402639e-05,2
148_43_1,37.511,19.816,10.0,0.00012023566189731875,1.2442190951356419e-05,0.2647967143175523,1.1975266472844148e-07,1.5994973549119902e-06,0.007666395012608595,6.389914840346648e-10,2.25938938721326e-07,1
106_42_0,37.72543900481541,15.133237881219904,0.0,0.040158711073704466,0.002560844442778256,0.3896827999812585,0.016981669504807246,0.006575522968863694,0.009599862867477323,0.00102699150827275,0.0011864334145515905,1
50_118_1,44.730333333333334,8.755,10.0,0.00036070698569195625,2.141102586483809e-05,0.25328521614666605,5.44108105529806e-06,7.94768982778848e-07,0.007674072494923895,1.676089063880519e-08,3.7624805246826415e-08,3
114_94_0,42.298,16.594,0.0,0.00012023566189731875,1.2442190951356419e-05,0.2648051451859399,6.012753071419825e-05,1.5947545065772476e-06,0.007666395012608598,3.412380623403723e-27,2.25938938721326e-07,14
107_28_1,36.463175,15.1317,10.0,0.000480942647589275,3.648026484630776e-05,0.2525430419336228,6.073289820243448e-05,6.520642340488456e-05,0.007677751446888827,1.0544447504533891e-05,4.069151796891366e-08,0
101_90_1,42.013400000000004,14.92725,10.0,0.0002404713237946375,1.651820351359324e-05,0.2773211516980377,1.0620339533237474e-07,7.351046956295566e-06,0.007670347949518699,6.825544597194198e-07,4.938428190686744e-07,15
74_148_1,47.392125,11.9628875,10.0,0.00096188529517855,5.414371724989752e-05,0.27321704280411285,1.1471384115615167e-05,3.3636428455375235e-06,0.007693903837055816,4.441161568119619e-08,2.8621708185333167e-07,15
110_43_3,37.7989,15.647266666666667,30.0,0.00036070698569195625,2.161596855167196e-05,0.282713258663766,2.6712931609697904e-06,7.271271613167975e-05,0.007667589072703153,2.876310619255231e-08,1.1948263396334442e-05,1
74_135_1,46.19,11.909,10.0,0.00012023566189731875,1.2839470699196171e-05,0.23818660862592358,6.015261940230376e-05,4.4369533750961193e-07,0.007665999347758837,-1.525066202960292e-26,3.6260998235994426e-08,1
125_61_1,39.2825,17.497500000000002,10.0,0.0002404713237946375,1.654631597243962e-05,0.2609541439844375,1.8471337121203875e-07,1.5343717098554142e-06,0.007670189002767133,2.943904549252465e-08,1.4335497077069087e-07,3
112_66_7,39.869,16.076,70.0,0.00012023566189731875,1.7484637233257088e-05,0.2201720714758438,0.0,6.832023106693679e-07,0.007666016525174116,1.0327107466110636e-07,5.161864603956234e-11,4
131_104_0,43.018,18.765,0.0,0.00012023566189731875,1.9477533075583672e-05,0.20003848281501793,0.0010000000000000002,2.66325261256389e-07,0.007666008194081702,1.88719704999541e-08,1.8552155179592823e-23,1
155_69_1,39.677499999999995,21.002,10.0,0.0002404713237946375,1.8878546709828204e-05,0.2591006090437546,6.026905655391595e-05,1.1598404095356817e-06,0.007670041965887007,1.1328179253193209e-09,1.6124153998731966e-07,14
65_116_0,44.51175,10.648375,0.0,0.00096188529517855,4.955542477130137e-05,0.2544786965501415,0.00012319192398637548,2.2763980222439766e-06,0.007693393676063284,1.9251531755889935e-07,2.8131364829964696e-08,15
33_104_1,43.465,6.640499999999999,10.0,0.0002404713237946375,2.189412964991038e-05,0.23600017025382006,8.11465588034545e-08,3.8881077055993117e-07,0.0076699191372488484,5.2339097504865535e-08,8.944116735417986e-10,1
35_132_0,46.00333333333333,6.853266666666666,0.0,0.00036070698569195625,2.221406115731359e-05,0.29700389244009573,5.614341653146859e-07,9.805473572248363e-06,0.007678296049840596,1.1064328968412019e-07,1.2411298568932978e-06,15
113_51_3,38.486000000000004,15.986,30.0,0.0002404713237946375,1.7895764799584368e-05,0.23969335850252893,4.541865782171888e-07,1.185332923034232e-05,0.007670038906465134,1.9300217050606916e-06,2.219864335175858e-08,2
74_133_1,46.0379,11.860266666666666,10.0,0.00036070698569195625,2.1373610984814175e-05,0.27525607717893136,1.4998798115007245e-06,3.1885431450955967e-06,0.007675805404380598,2.698238573015149e-07,2.3203203460065223e-07,1
91_37_3,37.352999999999994,13.432500000000001,30.0,0.0002404713237946375,2.3228266252491566e-05,0.2586493756900064,2.522274295396355e-07,1.0011286312975665e-06,0.007670090230597523,4.850827650422852e-10,9.906024584251803e-08,15
96_11_1,35.009,13.787,10.0,0.00012023566189731875,1.310772958035106e-05,0.2561678011519389,2.5399772909103533e-07,6.310719194848485e-07,0.0076662549857980065,3.3159448853658266e-09,4.9925902132052934e-08,16
32_128_0,45.595,6.492,0.0,0.00012023566189731875,1.3376661087656767e-05,0.23165840343156371,1.6878249908971968e-07,7.931554722693588e-08,0.007666027810120566,7.052268494652104e-10,5.794988320496387e-09,16
103_95_0,42.4837,15.1658,0.0,0.00012023566189731875,1.5687727306671127e-05,0.20483960347269256,0.0,8.096463054815714e-07,0.007666012122610633,6.930185887369325e-08,1.0398227157937746e-10,1
93_127_0,45.426,14.284,0.0,0.00012023566189731875,1.3716947643462035e-05,0.24627274476999836,3.3483465930380997e-07,9.006347036059892e-07,0.007666114221107622,7.2367305045677e-08,3.6759502552897633e-09,14
42_148_0,47.397333333333336,7.646000000000001,0.0,0.00036070698569195625,3.582624492980199e-05,0.28747213245078895,6.0501761319946425e-05,1.9791589905868258e-05,0.007674720451947425,7.386358119227375e-10,3.6047684246693813e-06,11
67_127_1,45.53792222222222,10.965022222222222,10.0,0.0010220031261272094,5.4928343354352816e-05,0.30465201465201464,0.00011541477718641687,0.0002964571701149811,0.007634796126002073,1.386997462026605e-06,4.958481264343126e-05,4
111_60_5,39.2562,15.8965,50.0,0.00012023566189731875,1.3751505002461172e-05,0.24406849294968674,3.739592906594867e-07,5.293041760538559e-06,0.007666111966332486,8.420814698411487e-07,1.1291131348142036e-08,1
